User_ID,Searched_Friend_Email,Friend_Registered,Friend_Agreed,Friend_ID,Friend_Group
U-1,mcooper7@cloudflare.com,Member,YES,U-8,Close-family
U-9,wpetersonb@cargocollective.com,Member,YES,U-12,Close-family
U-26,scarrollc@sun.com,Member,YES,U-13,Close-family
U-17,shamiltona@creativecommons.org,Member,YES,U-11,Default
U-16,rmarshall1@free.fr,Member,YES,U-2,Close-family
U-29,cspencer9@mtv.com,Member,YES,U-10,Colleague
U-28,rrivera3@themeforest.net,Member,YES,U-4,Default
U-23,cfrazier6@acquirethisname.com,Member,YES,U-7,Default
U-12,jevansx@furl.net,Not-Yet,Not-Yet,U-34,Close-family
U-29,rrivera3@themeforest.net,Member,YES,U-4,Close-family
U-23,mmartine@a8.net,Member,YES,U-15,Colleague
U-22,rmontgomery1f@godaddy.com,Not-Yet,Not-Yet,U-52,Default
U-10,bberryo@w3.org,Member,YES,U-25,Default
U-9,jmillsd@qq.com,Member,YES,U-14,Close-family
U-22,mjacobsn@bluehost.com,Member,YES,U-24,Close-family
U-14,ddunnl@netvibes.com,Member,YES,U-22,Default
U-28,ddunnl@netvibes.com,Member,YES,U-22,Colleague
U-15,dmarshallh@csmonitor.com,Member,YES,U-18,Close-family
U-5,cfrazier6@acquirethisname.com,Member,YES,U-7,Colleague
U-11,agarcia16@so-net.ne.jp,Not-Yet,Not-Yet,U-43,Close-family
U-6,jrileyq@eventbrite.com,Member,YES,U-27,Default
U-10,shamiltona@creativecommons.org,Member,YES,U-11,Close-family
U-5,cspencer9@mtv.com,Member,YES,U-10,Close-family
U-28,mcooper7@cloudflare.com,Member,YES,U-8,Default
U-4,pfranklin1c@blinklist.com,Not-Yet,Not-Yet,U-49,Colleague
U-11,tmorgan8@icio.us,Member,NO,U-9,Default
U-7,rbrooksk@blogspot.com,Member,YES,U-21,Close-family
U-24,rrivera3@themeforest.net,Member,YES,U-4,Default
U-20,sstevens1g@diigo.com,Not-Yet,Not-Yet,U-53,Default
U-14,gbennett1l@de.vu,Not-Yet,Not-Yet,U-58,Close-family
U-6,bberryo@w3.org,Member,YES,U-25,Close-family
U-13,jcarroll11@hugedomains.com,Not-Yet,Not-Yet,U-38,Close-family
U-17,acastillo4@google.ca,Member,YES,U-5,Default
U-14,awallaceg@upenn.edu,Member,YES,U-17,Colleague
U-3,gstanleyr@lulu.com,Member,YES,U-28,Default
