User_ID,First_name,Last_name,Gender,DoB,Email,Date_Membered,Last_Date_Accessed 
U-1,Samuel,Lynch,Male,1995/12/11,slynch0@who.int,2011/06/20,2015/01/07
U-2,Rose,Marshall,Female,1981/04/27,rmarshall1@free.fr,2012/05/03,2014/10/04
U-3,Theresa,Graham,Female,1992/12/09,tgraham2@omniture.com,2012/08/02,2014/11/25
U-4,Ryan,Rivera,Male,1995/11/15,rrivera3@themeforest.net,2011/10/20,2015/02/24
U-5,Adam,Castillo,Male,1984/12/11,acastillo4@google.ca,2012/05/07,2014/09/16
U-6,Mildred,Morrison,Female,1991/07/03,mmorrison5@w3.org,2012/09/25,2014/10/19
U-7,Cheryl,Frazier,Female,1974/01/31,cfrazier6@acquirethisname.com,2011/06/29,2014/11/25
U-8,Maria,Cooper,Female,1980/04/24,mcooper7@cloudflare.com,2011/04/15,2014/10/20
U-9,Thomas,Morgan,Male,1975/01/04,tmorgan8@icio.us,2012/06/23,2015/01/24
U-10,Craig,Spencer,Male,1974/10/26,cspencer9@mtv.com,2012/01/06,2014/12/13
U-11,Stephanie,Hamilton,Female,1978/06/22,shamiltona@creativecommons.org,2012/08/04,2014/10/14
U-12,William,Peterson,Male,1989/07/03,wpetersonb@cargocollective.com,2012/03/19,2014/10/31
U-13,Samuel,Carroll,Male,1970/11/18,scarrollc@sun.com,2012/03/13,2014/10/29
U-14,Johnny,Mills,Male,1972/06/01,jmillsd@qq.com,2011/05/11,2015/01/28
U-15,Michael,Martin,Male,1973/05/02,mmartine@a8.net,2012/02/29,2015/01/16
U-16,Sara,Bradley,Female,1974/02/15,sbradleyf@fda.gov,2011/12/05,2015/02/05
U-17,Alice,Wallace,Female,1974/11/17,awallaceg@upenn.edu,2011/06/29,2014/09/25
U-18,Donald,Marshall,Male,1972/01/23,dmarshallh@csmonitor.com,2012/11/07,2014/10/30
U-19,Daniel,Holmes,Male,1980/11/21,dholmesi@theglobeandmail.com,2012/07/19,2014/11/25
U-20,David,Phillips,Male,1973/09/21,dphillipsj@samsung.com,2012/10/26,2014/11/06
U-21,Randy,Brooks,Male,1989/01/11,rbrooksk@blogspot.com,2011/10/18,2015/01/22
U-22,Deborah,Dunn,Female,1989/12/12,ddunnl@netvibes.com,2012/04/05,2014/09/19
U-23,Robin,Bradley,Female,1990/06/28,rbradleym@stumbleupon.com,2012/05/30,2014/09/01
U-24,Matthew,Jacobs,Male,1991/09/07,mjacobsn@bluehost.com,2011/08/04,2014/11/09
U-25,Bonnie,Berry,Female,1978/12/02,bberryo@w3.org,2012/05/19,2014/11/29
U-26,Ann,Martinez,Female,1983/05/23,amartinezp@yellowpages.com,2011/11/17,2014/09/25
U-27,Jose,Riley,Male,1987/08/08,jrileyq@eventbrite.com,2011/08/05,2014/09/25
U-28,Gregory,Stanley,Male,1993/03/21,gstanleyr@lulu.com,2011/04/17,2014/09/12
U-29,Diane,Olson,Female,1979/02/02,dolsons@pinterest.com,2011/04/03,2014/09/14
U-30,Clarence,Burns,Male,1975/06/23,cburnst@techcrunch.com,2012/01/01,2014/09/20
